analysis_row_id,lnp_id,paper_doi,md_source_lnp_id,transfection_active,fold,feature,display_name,family,shap_value,abs_shap_value,md_value
288,687,https://doi.org/10.1038/s41563-020-00886-0,LNP858,0,5,md_RNA_buried_fraction_contact_based_mean_last100ns,RNA buried fraction,rna_association,0.009207830258540193,0.009207830258540193,0.149654436759183
288,687,https://doi.org/10.1038/s41563-020-00886-0,LNP858,0,5,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,Shape anisotropy,size_shape,-0.009363806192142025,0.009363806192142025,0.2087814469100862
288,687,https://doi.org/10.1038/s41563-020-00886-0,LNP858,0,5,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,LNP compactness,size_shape,-0.0010013061650992682,0.0010013061650992682,0.087026729854831
288,687,https://doi.org/10.1038/s41563-020-00886-0,LNP858,0,5,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,Core water fraction,water_penetration,-0.0033928384833557235,0.0033928384833557235,0.1954791303720854
293,781,10.1002/btm2.10580,LNP858,1,5,md_LNP_only_Rg_nm_mean_last100ns,LNP radius of gyration,size_shape,-0.0006843434343434338,0.0006843434343434338,11.327454425742577
293,781,10.1002/btm2.10580,LNP858,1,5,md_LNP_core_Rg_nm_mean_last100ns,Core radius of gyration,size_shape,-0.0034759019299873857,0.0034759019299873857,10.996099425742576
293,781,10.1002/btm2.10580,LNP858,1,5,md_LNP_only_SASA_nm2_mean_last100ns,LNP solvent-accessible area,size_shape,-0.015123209026204218,0.015123209026204218,1016.6465940594056
293,781,10.1002/btm2.10580,LNP858,1,5,md_RNA_Rg_nm_mean_last100ns,RNA radius of gyration,size_shape,0.0019597524894288264,0.0019597524894288264,2.123560346534653
293,781,10.1002/btm2.10580,LNP858,1,5,md_LNP_RNA_Rg_nm_mean_last100ns,LNP-RNA radius of gyration,size_shape,-0.0018541013584117028,0.0018541013584117028,10.968207019801978
293,781,10.1002/btm2.10580,LNP858,1,5,md_RNA_LNP_COM_distance_nm_mean_last100ns,RNA-LNP center distance,rna_association,0.00619374782305817,0.00619374782305817,5.766475247524753
293,781,10.1002/btm2.10580,LNP858,1,5,md_RNA_LNP_mindist_nm_mean_last100ns,RNA-LNP minimum distance,rna_association,0.0007413730905110207,0.0007413730905110207,0.3430204831683168
293,781,10.1002/btm2.10580,LNP858,1,5,md_RNA_LNP_contacts_0p6nm_mean_last100ns,RNA-LNP contacts,rna_association,0.018847507968704717,0.018847507968704717,208.43564356435644
