seed,weighting,metric,baseline,baseline_plus_md,delta_md_minus_baseline
2021,row_weighted,roc_auc,0.5238095238095238,0.5952380952380953,0.07142857142857151
2021,row_weighted,pr_auc_active,0.4890572390572391,0.545970695970696,0.05691345691345695
2021,row_weighted,pr_auc_inactive,0.7022065236350951,0.6793040293040293,-0.022902494331065726
2021,row_weighted,balanced_accuracy,0.45238095238095233,0.6309523809523809,0.1785714285714286
2021,row_weighted,macro_f1,0.4484848484848485,0.606060606060606,0.15757575757575748
2021,row_weighted,mcc,-0.09759000729485333,0.2828894749305018,0.38047948222535516
2022,row_weighted,roc_auc,0.4761904761904762,0.5952380952380953,0.11904761904761912
2022,row_weighted,pr_auc_active,0.475071225071225,0.545970695970696,0.07089947089947102
2022,row_weighted,pr_auc_inactive,0.6069684283969998,0.6793040293040293,0.07233560090702951
2022,row_weighted,balanced_accuracy,0.5357142857142857,0.7023809523809523,0.16666666666666663
2022,row_weighted,macro_f1,0.5357142857142857,0.6904761904761905,0.15476190476190477
2022,row_weighted,mcc,0.07142857142857142,0.4147575310031266,0.3433289595745552
2023,row_weighted,roc_auc,0.5,0.6428571428571429,0.1428571428571429
2023,row_weighted,pr_auc_active,0.49173789173789173,0.55995670995671,0.06821881821881826
2023,row_weighted,pr_auc_inactive,0.6168890633176347,0.7745421245421246,0.15765306122448985
2023,row_weighted,balanced_accuracy,0.5357142857142857,0.7023809523809523,0.16666666666666663
2023,row_weighted,macro_f1,0.5357142857142857,0.6904761904761905,0.15476190476190477
2023,row_weighted,mcc,0.07142857142857142,0.4147575310031266,0.3433289595745552
2024,row_weighted,roc_auc,0.4761904761904762,0.5952380952380953,0.11904761904761912
2024,row_weighted,pr_auc_active,0.475071225071225,0.545970695970696,0.07089947089947102
2024,row_weighted,pr_auc_inactive,0.6069684283969998,0.6793040293040293,0.07233560090702951
2024,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2024,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2024,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2025,row_weighted,roc_auc,0.4761904761904762,0.6428571428571429,0.16666666666666669
2025,row_weighted,pr_auc_active,0.475071225071225,0.55995670995671,0.08488548488548497
2025,row_weighted,pr_auc_inactive,0.6069684283969998,0.7745421245421246,0.16757369614512474
2025,row_weighted,balanced_accuracy,0.5357142857142857,0.7023809523809523,0.16666666666666663
2025,row_weighted,macro_f1,0.5357142857142857,0.6904761904761905,0.15476190476190477
2025,row_weighted,mcc,0.07142857142857142,0.4147575310031266,0.3433289595745552
2026,row_weighted,roc_auc,0.4523809523809524,0.6428571428571429,0.19047619047619052
2026,row_weighted,pr_auc_active,0.4658119658119658,0.55995670995671,0.09414474414474416
2026,row_weighted,pr_auc_inactive,0.5855398569684284,0.7745421245421246,0.1890022675736962
2026,row_weighted,balanced_accuracy,0.5357142857142857,0.7023809523809523,0.16666666666666663
2026,row_weighted,macro_f1,0.5357142857142857,0.6904761904761905,0.15476190476190477
2026,row_weighted,mcc,0.07142857142857142,0.4147575310031266,0.3433289595745552
2027,row_weighted,roc_auc,0.5,0.5952380952380953,0.09523809523809534
2027,row_weighted,pr_auc_active,0.49173789173789173,0.545970695970696,0.0542328042328043
2027,row_weighted,pr_auc_inactive,0.6168890633176347,0.6793040293040293,0.06241496598639462
2027,row_weighted,balanced_accuracy,0.5357142857142857,0.7023809523809523,0.16666666666666663
2027,row_weighted,macro_f1,0.5357142857142857,0.6904761904761905,0.15476190476190477
2027,row_weighted,mcc,0.07142857142857142,0.4147575310031266,0.3433289595745552
2028,row_weighted,roc_auc,0.5476190476190477,0.6428571428571429,0.09523809523809523
2028,row_weighted,pr_auc_active,0.5195156695156695,0.55995670995671,0.040441040441040466
2028,row_weighted,pr_auc_inactive,0.6432496075353218,0.7745421245421246,0.13129251700680278
2028,row_weighted,balanced_accuracy,0.6190476190476191,0.7023809523809523,0.08333333333333326
2028,row_weighted,macro_f1,0.6153846153846154,0.6904761904761905,0.07509157509157505
2028,row_weighted,mcc,0.23809523809523808,0.4147575310031266,0.17666229290788854
2029,row_weighted,roc_auc,0.5238095238095238,0.5952380952380953,0.07142857142857151
2029,row_weighted,pr_auc_active,0.4890572390572391,0.545970695970696,0.05691345691345695
2029,row_weighted,pr_auc_inactive,0.7022065236350951,0.6793040293040293,-0.022902494331065726
2029,row_weighted,balanced_accuracy,0.5357142857142857,0.7023809523809523,0.16666666666666663
2029,row_weighted,macro_f1,0.5357142857142857,0.6904761904761905,0.15476190476190477
2029,row_weighted,mcc,0.07142857142857142,0.4147575310031266,0.3433289595745552
2030,row_weighted,roc_auc,0.4761904761904762,0.5952380952380953,0.11904761904761912
